名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
藤原光博,藤原 光博,,1962/6/8,,大阪府大阪市,A型,171cm,関西弁,桃山学院大学卒業,,,2010/1/1,2015/1/1,,,198,98
藤原丞,,,,,,,,,,,スクールJCA22期,2013/1/1,,http://www.p-jinriki.com/talent/underpar/,,,48
藤原大輔 (お笑い芸人),,,,,,,,,,,松竹芸能大阪養成所,2008/1/14,2012/1/15,https://www.yumbodump.com/,,,74
藤崎翔,,,,,,,,,茨城県立竜ヶ崎第一高等学校,,,1987/1/1,,,,,71
藤森慎吾,藤森 慎吾（ふじもり しんご）,しんご、チャラ男、チャラメガネ,1983/3/17,,長野県諏訪市,B型,169 cm,共通語,明治大学政治経済学部経済学科卒業,,NSC東京校10期,1999/1/1,,https://mobile.twitter.com/chara317megane,https://www.youtube.com/channel/UC25Ah0_XF2lOUwWV9VSfl2g,448,48
藤川なお美,,,,,神奈川県,,,,,,,1985/1/1,,,,,70
藤田かおる,,,1976/1/8,,東京都,A型,153cm,,,,,2017/1/1,2020/1/1,http://www.newstaffpro.com/,,,53
藤田憲右,藤田 憲右,,1975/12/30,,静岡県御殿場市,A型,180 cm,共通語,中央学院大学中退,,NSC東京校3期,2002/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=204,,84,84
藤田晋也,藤田 晋也,,1982/9/17,,大阪府,B型,180cm,関西弁,辻調理師専門学校,,,1961/1/1,1973/1/1,http://s.ameblo.jp/doremi-fujitateikoku/ドレミ倶楽部・藤田晋也の帝国料理,,15,15
藤尾仁志,藤尾仁志,,1979/1/6,,兵庫県,B型,173 cm,,北海道大学水産学部中退,,,1951/1/1,,,,,91
藤本康志,,,,,,,,,,,,2000/1/1,,,,,16
藤本淳史,,,,,,,,,,,NSC東京校13期,2003/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2985,,267,67
藤本聖,,,,,,,,,,,NSC大阪校27期,1989/1/1,2004/1/1,,,,28
藤本敏史,藤本 敏史（ふじもと としふみ）,フジモン,1970/12/18,,大阪府寝屋川市,AB型,174cm,大阪弁,大阪府立東寝屋川高等学校 （現・大阪府立北かわち皐が丘高等学校）,,NSC大阪校8期,2006/1/1,2007/1/1,,,256,56
藤本友美,,,,,,,,,,,NSC東京校13期,2012/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3449,,,22
藤澤ひろ,,,1998/3/14,,,A型,170 cm,,,,,2016/4/1,,,,,93
堂土貴,,,,,,,,,,,NSC大阪校11期（堂土） NSC大阪校13期（マスダ）,2019/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=238,,5,5
徳井義実,,とっくん・よっきゅん,1975/4/16,,京都府京都市左京区,A型,178 cm,京都弁,花園大学文学部仏教学科中退,,NSC大阪校13期,1933/1/1,1994/1/1,,,425,25
徳井健太,徳井 健太,無能 、クズ,1980/9/16,,千葉県,A型,172 cm,標準語,北海道別海高等学校,,NSC東京校5期,1978/1/1,2014/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=420,,277,77
徳原旅行,徳原 亨,,1995/12/25,,大阪府大阪市,A型,180cm,,大阪府立大塚高等学校体育科,,,2012/1/1,,https://www.maseki.co.jp/talent/TOKUHARARYOKOU,,,92
徳川夢声,福原 駿雄（ふくはら としお）,,,1971/8/1,,,,,,,,1971/1/1,1977/1/1,,,,14
徳田浩至,徳田浩至,,1987/12/20,,大阪府,AB型,182cm,,法政大学文学部英文学科,,ワタナベコメディスクール23期,1992/1/1,1999/1/1,,,,39
寅人,,,1986/5/30,,東京都,O型,,標準語,,,目黒笑売塾9期生,2004/1/1,2008/1/1,http://com.horipro.co.jp/talent/%E5%AF%85%E4%BA%BA%20/index.html,,,33
那須晃行,,,,,,,,,,,,2011/1/1,,https://www.shochikugeino.co.jp/talents/nasunakanishi,,365,65
内海カッパ,神田 常巌,,1941/9/14,2008/8/27,鹿児島県奄美大島,,,,,,,2014/1/1,,,,,48
内海桂子,安藤 良子（あんどう よしこ）,,1922/9/12,2020/8/22,東京都台東区浅草,A型,,江戸弁,,,,1991/1/1,,,,12,12
内海崇,内海 崇,うっちゃん,1985/12/9,,兵庫県姫路市,B型,168cm,関西弁,大阪芸術大学映像学科,,,1980/1/1,1982/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6901,,19,19
内海突破,木村 三郎,,,1968/6/8,愛媛県,,,,,,,2017/1/12,,,,16,16
内間政成,,,,,,,,,,,NSC東京校8期（内間）,2010/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=476,,142,42
内山信二,内山 信二,内山くん,1981/9/25,,東京都葛飾区,O型,174 cm,共通語,,明石家さんま,元子役,2017/1/1,2011/1/1,https://shu-pro.co.jp/talent/uchiyamashinji/,,217,17
内場勝則,,うっちー うっちゃん かっちゃん,1960/8/22,,大阪府大阪市西成区,B型,161 cm,大阪弁,大阪府立東住吉工業高等学校,花紀京,NSC大阪校1期,2017/1/1,,,,154,54
内村光良,内村 光良,ウッチャン、チェン,1964/7/22,,熊本県人吉市 （出生地は同県球磨郡上村〈現・同県球磨郡あさぎり町〉）,AB型,169 cm,共通語・球磨弁,横浜放送映画専門学院,,お笑いスター誕生,2014/1/1,,https://www.maseki.co.jp/talent/uchan_nanchan,,189,89
内田英輔,,,,,,,,,,,ワタナベコメディスクール10期,2016/1/1,,https://www.watanabepro.co.jp/mypage/4000087/,,,34
内藤輝彦,,,,,,,,,,,NSC東京校3期,2018/1/1,,https://web.archive.org/web/20080708153311/http://poteto-shonendan.laff.jp/,,242,42
内藤紗弥花,,,,,,,,,,,NSC東京校13期,2020/1/1,2005/1/1,,,,33
内藤正浩,,,,,,,,,,,,2007/1/1,2009/1/1,,,176,76
楢原真樹,,,,,,,,,,,NSC大阪校28期（楢原） NSC大阪校29期（出井）,2013/1/17,,http://www.kdashstage.jp/profile/archives/4,,,41
南原清隆,南原 清隆,ナンチャン、ナンバラバンバンバン,1965/2/13,,香川県高松市,AB型,174cm,共通語,横浜放送映画専門学院,,お笑いスター誕生,2005/1/1,,https://www.maseki.co.jp/talent/uchan_nanchan,,190,90
南志保,,,1984/3/27,,兵庫県宝塚市,O型,160cm,,,,,2017/1/1,,,,,2
南都雄二,吉村 朝治,,1924/4/26,1973/3/19,,,,,,,,2015/1/1,2019/1/14,,,,16
南道郎,根岸 貞一,,1926/9/25,2007/11/13,,A型,,,,,,2017/1/1,,,,,47
南部虎弾,佐藤 道彦,南部ちゃん,1951/7/14,,山形県鶴岡市,,168cm,共通語,日本 高崎経済大学中退,,,2004/1/1,2009/1/1,http://dengekinetwork.com/,,133,33
南方英二,,,,,,,,,,,,2017/1/1,,,,52,52
南野やじ,廣田 伸一（ひろた しんいち）,,1976/8/30,,長崎県長崎市,A型,170cm,共通語、長崎弁,創価大学法学部卒業,,,2017/1/1,,https://ameblo.jp/minaminoyaji/,,92,92
南條庄助,,,,,,,,,,,NSC大阪校28期,2006/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3712,https://www.youtube.com/channel/UC0vhOipAozD9bZcNy6CTpgQ,,61
二輪明宏,大和 衛（やまとまもる）,,1966/6/25,2020/7/12,,,,,,,,2016/1/12,,,,,69
肉体戦士ギガ,,ギガ,,,銀河,未調査,ギガ1つ分,,,,スクールJCA23期,2020/5/1,,http://www.p-jinriki.com/talent/nikutaisenshigiga/,,,9
虹組キララ,非公開,,1975/12/1,,,B型,156cm,,,,福岡県,2007/1/1,2010/1/1,https://www.higashimura15.com/blank-12,,,50
日高晤郎,細谷 新吾（ほそたに しんご）,晤郎さん,1944/2/28,2018/4/3,大阪府大阪市西成区山王,A型,,,,八代目 市川雷蔵 勝新太郎,,1997/1/1,,,,41,41
日村勇紀,,ヒムケン たけし,1972/5/14,,神奈川県相模原市中央区,O型,172 cm,共通語,神奈川県立相模田名高等学校,,ラ・ママ新人コント大会,2010/1/1,,,,285,85
日野誠,日野 誠,,1973/9/5,,宮崎県宮崎市,O型,173cm,,,,NSC東京校1期,2005/1/1,,,,366,66
入江慎也,入江 慎也,,1977/4/8,,東京都小平市,O型,158cm,共通語,東京都立保谷高等学校,,,2003/1/1,2018/1/1,,,128,28
入江真潮,,,,,,,,,,,NSC東京校9期,2003/1/1,2011/1/1,http://www.watanabepro.co.jp/mypage/artist/kyusyu.html,,,23
猫ひろし,瀧崎 邦明（たきざき くにあき）,猫,1977/8/8,,千葉県市原市,A型,145cm,房州弁,目白大学人文学部卒業,ハチミツ二郎,,2020/1/1,,https://neko-hiroshi.com/,https://www.youtube.com/channel/UCDk2-iWh-3jidoSJRezGYjA,488,88
猫柳ロミオ,津波祐一,,1977/9/22,,沖縄県浦添市,O型,185cm,,沖縄県立宜野湾高等学校,春風亭小朝,,2013/1/1,,,,,72
能崎弥生,,,,,,,,,,,,2004/1/1,2015/1/1,https://www.ohtapro.co.jp/talent/kuroyagi.html,,179,79
脳みそ夫,,脳さん、不協和音,1980/1/22,,千葉県白井市,B型,171cm,標準語,法政大学,,,2011/1/1,,http://www.titan-net.co.jp/talent/noumisoo/,,152,52
波照間てるこ。,波照間 由佳,,1980/8/12,,沖縄県浦添市,,159cm,,東京家政学院大学家政学部,,,2017/1/1,,,,218,18
波田陽区,大川 晃（おおかわ あきら） （旧姓:波田）,ギター侍,1975/6/5,,山口県,O型,164cm,共通語,熊本学園大学商学部経営学科,,現事務所直入,2008/1/1,2014/1/1,https://www.watanabepro.co.jp/mypage/40000010/,,144,44
馬王,有間 勇太（ありま ゆうた）,,1977/1/19,,東京都世田谷区,A型,,,国士舘大学,Wエース,,2005/1/1,2015/1/1,https://neet-project.com/profile/baou/,,205,5
馬場さおり,,,,,,,,,,,スクールJCA16期,2004/1/1,2009/1/1,https://laugh-iine-pro.co.jp/talent/%E8%8D%92%E3%81%B6%E3%82%8B%E7%A5%9E%E3%80%85/,,,20
馬場園梓,,,,,,,,,,,NSC大阪校20期,2004/1/1,2007/1/12,https://profile.yoshimoto.co.jp/talent/detail?id=143,,176,76
馬場裕之,,馬場ちゃん,1979/3/22,,福岡県北九州市門司区,A型,181 cm,北九州弁・共通語,福岡県立門司北高等学校,,NSC東京校4期,2014/1/15,,https://profile.yoshimoto.co.jp/talent/detail?id=53,https://www.youtube.com/channel/UCSACDJBZm4UiVK3CnZ5G7aw,155,55
萩本欽一,萩本 欽一,欽ちゃん、大将,1941/5/7,,東京府東京市下谷区 （現：東京都台東区） （生育地は埼玉県浦和市（現：さいたま市浦和地区））,A型,164cm,東京弁,駒澤大学仏教学部中退,深見千三郎、池信一、東八郎、はかま満緒,浅草東洋劇場,2020/1/1,,http://asaikikaku.co.jp/talent/profile/hagimotokinichi,,33,33
博多華丸,岡崎 光輝（おかざき みつてる）,華ちゃん、岡崎さん、お父さん,1970/4/8,,福岡県福岡市早良区,B型,173 cm,共通語 博多弁,福岡大学工学部中退,,,2006/1/15,2015/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=214,,279,79
博多大吉,吉岡 廣憲（よしおか ひろのり）,大吉先生,1971/3/10,,福岡県古賀市（兵庫県神戸市出生）,O型,182 cm,共通語、博多弁,福岡大学経済学部除籍,,,2014/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=215,,293,93
柏円,,,,,,,,,,,ワタナベコメディスクール17期,2014/1/1,,,,,86
柏崎桃子,同じ,ももち,1979/7/31,,,A型,165cm,,作新学院高等学校美術デザイン科中退,,栃木県真岡市,2011/1/1,,https://shu-pro.co.jp/talent/%e6%9f%8f%e5%b4%8e%e6%a1%83%e5%ad%90/,,,57
柏信圭吾,,,,,,,,,,,スクールJCA22期,1997/1/1,,http://www.p-jinriki.com/talent/underpar/,,,46
白井鉄也,白井鉄也,白井,1981/5/9,,千葉県印旛郡酒々井町,B型,176.5cm,標準語（結成初期は関西弁）,千葉県立佐倉南高等学校,,NSC大阪校23期,2014/1/1,,https://web.archive.org/web/20080214154814/http://shirai.laff.jp/,,380,80
白珠イチゴ,,,1984/5/24,,山口県周南市,A型,152cm,標準語,,タキダ,NSC東京校20期,2005/1/1,,,,,55
白石大志,,,1991/1/20,,長崎県南島原市,AB型,178cm,共通語 島原弁,長崎県立島原工業高等学校,,NSC東京校18期,2016/1/16,,,,2,2
白川安彦,,,,,日本,,,,,,,2016/1/1,2020/1/1,,,351,51
白川悟実,,,,,,,,,,,NSC大阪校8期（白川） 事務所直入（浜本）,2013/1/1,2017/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=627,,438,38
白鳥久美子,,,1981/12/11,,福島県郡山市,B型,165cm,共通語,日本大学芸術学部演劇学科演技コース,,,1993/1/1,,https://ameblo.jp/sienne07/,,57,57
白桃ピーチよぴぴ,,,1991/8/17,,兵庫県,A型,163cm,,龍谷大学卒業,,NSC大阪校41期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=7293,,,75
白幡いちほ,,,1990/11/18,,東京都福生市,O型,,,,,,2004/1/1,,https://gokigenteikoku.themedia.jp/,,,72
薄幸,小泉 美由紀（こいずみ みゆき）,みゆ吉,1993/1/24,,千葉県柏市,A型,160 cm,,,,ワタナベコメディスクール13期,2019/1/1,,https://www.ohtapro.co.jp/talent/nagon.html,,,68
迫田篤,,,,,,,,,,,,1988/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5078,,,3
爆ノ介,幸内 淳（こううち あつし）,爆ノ介、爆ちゃん、爆姐さん,1979/6/10,,兵庫県西宮市,O型,182cm,関西弁,桃山学院大学,,NSC大阪校30期,2005/12/3,,https://profile.yoshimoto.co.jp/talent/detail?id=3346,,215,15
硲陽平,,,,,,,,,,,NSC大阪校24期,2014/1/1,,,,366,66
畑中しんじろう,,しんちゃん,1982/5/5,,北海道,A型,,標準語,,,NSC東京校9期,2007/1/1,,,,443,43
畠山達也,,,,,,,,,,,NSC大阪校29期,2018/1/1,,,,,59
畠中悠,,,,,,,,,,なし,NSC東京校17期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6711,,,78
八つ橋てまり,,,1981/7/31,,福島県浪江町,,165cm,,,,ワタナベコメディスクール21期,2017/1/15,,,,,52
八十島弘行,,,,,,,,,,,NSC大阪校26期（八十島） NSC大阪校27期（ツネ）,2017/1/13,,https://profile.yoshimoto.co.jp/talent/detail?id=2721,,,58
八島広樹,,,,,,,,,,,,2017/1/1,,,,481,81
八納隆弘,,,,,,,,,,,,2018/1/1,,,,,93
八幡カオル,八幡 薫（やはた かおる）,,1975/5/20,,静岡県磐田郡水窪町 （現・浜松市天竜区）,B型,156cm,,,,,2018/1/1,,https://grapecom.jp/talent_writer/yahata-kaoru/,,183,83
八木真澄,,,1974/8/4,,京都府綴喜郡井手町,O型（Rh-）,176 cm,京都弁,立命館大学産業社会学部,,2丁目ワチャチャライブJr.,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=153,,384,84
八木正幸,八木 正幸,やぎちゃん やぎねぇ,1966/6/12,,京都府乙訓郡長岡町,A型,170cm,,福井県立藤島高等学校卒 東京農工大学中退,,才賀企画,2017/1/1,,,,263,63
八木優子,,,,,,,,,,,NSC大阪校25期（梅木） NSC大阪校27期（八木） NSC大阪校34期（岩村）,2017/1/1,,https://www.sunmusic-gp.co.jp/talent/honeytrap/,,283,83
八木良,八木 良,ニセ若林　若林そっくりさん,1979/10/17,,静岡市清水区,A型,170cm,静岡弁,静岡産業技術専門学校中退,,現事務所直入,2017/1/1,,https://ameblo.jp/wakabayashi-towa-makoto/,,182,82
鳩山来留夫,鶴見 憲（つるみ けん）,,1973/10/2,,茨城県,O型,177 cm,標準語,,ビートたけし,,2007/1/1,2013/1/1,,,,9
塙宣之,塙 宣之,,1978/3/27,,千葉県我孫子市,A型,173 cm,標準語,創価大学経済学部,,,2010/1/1,,,https://www.youtube.com/channel/UCG4PIPvmm838XWIJgKFKisw,261,61
伴淳三郎,鈴木 寛定 すずき ひろさだ,,1908/1/10,1981/10/26,,,,,,,,1961/1/1,,,,,22
板倉俊之,板倉 俊之,板さん,1978/1/30,,兵庫県宝塚市,B型,168 cm,共通語,,,NSC東京校4期,2015/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=46,,152,52
板尾創路,板尾 創路,イッツジー,1963/7/18,,大阪府富田林市,A型,177cm,大阪弁 共通語,東大阪大学柏原高等学校卒業,,NSC大阪校4期,2009/1/1,2014/1/1,,,195,95
飯めしあがれこにお,,,1989/12/4,,福井県おおい町,A型,,,,,NSC大阪校31期,2019/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6045,,,90
飯塚悟志,,さとし人力舎の火野正平,1973/5/27,,千葉県,O型,170cm,共通語,,,スクールJCA2期,1998/1/1,,,,402,2
飯尾和樹,,,1968/12/22,,東京都世田谷区,O型,172 cm,標準語,東京学園高等学校,,,2000/1/1,2017/1/14,,,299,99
比嘉憲吾,,,,,,,,,,,よしもと沖縄エンターテイメントカレッジ1期,1988/1/1,,,,181,81
比嘉速人,比嘉速人,,,,沖縄県,A型,167cm,,,,,1979/1/1,,http://asaikikaku.co.jp/talent/profile/higahayato,,,98
緋田康人,,,1964/2/5,,,,,,,,,2014/1/1,2017/1/1,http://www.from1-pro.jp/talent/detail.php?id=17,,,47
肥後克広,肥後 克広,リーダー、肥後ちゃん,1963/3/15,,沖縄県那覇市,AB型,179 cm,共通語、沖縄弁,沖縄県立那覇工業高等学校,杉兵助,渋谷道頓堀劇場,2019/1/1,,,,186,86
肥後裕之,,,,,,,,,,,NSC大阪校31期,2007/11/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5084,,,8
肥田安央,,,,,,,,,,,NSC東京校11期,2019/1/1,,,,,2
飛永翼,飛永 翼,,1983/2/13,,静岡県,A型,170cm,共通語,,,スクールJCA10期,2007/1/17,2012/1/13,http://www.p-jinriki.com/talent/rubbergirl/,,351,51
樋口和之,,,,,,,,,,,,2017/1/1,,http://www.titan-net.co.jp/profile/detail.php?id=5,,195,95
尾関高文,,,,,,,,,,,故林広志第3期コントサンプル,2018/1/1,,http://ash-d.info/geese.html,https://www.youtube.com/channel/UCAeTkHJBS7B5NR86sO1U7GA,25,25
尾形貴弘,尾形 貴弘,おがちん、サンキュー,1977/4/27,,宮城県桃生郡鳴瀬町（現・東松島市）,B型,180cm,標準語,中央大学文学部,,NSC東京校8期,1970/1/1,,,https://www.youtube.com/channel/UCwjidOKo0GH6fa3KyTgAS4w,428,28
尾崎小百合,,,,,,,,,,大平シロー（かつみ） 六代桂文枝（さゆり）,NSC大阪校2期（かつみ）,2018/1/1,,,,8,8
尾身智志,,,,,,,,,,,"早稲田大学お笑い工房LUDO15期生
ワタナベコメディスクール26期",2002/1/1,2007/1/1,https://www.watanabepro.co.jp/mypage/4000101/,https://www.youtube.com/channel/UCQSxSetygmXHsBPgFvtWoZQ,,81
桧博明,桧 博明,,1970/2/8,,徳島県,A型,171cm,,,,吉本バッタモンクラブ(2期生),2017/1/1,,,,277,77
姫くりなみえ,,,,,,,,,,,,2007/1/1,,http://neet-project.com/profile/yuzu/,,278,78
姫ちゃん,,,1988/7/17,,埼玉県春日部市,B型,165cm,共通語,,,NSC東京校13期,2005/1/1,2017/1/1,https://blogs.yahoo.co.jp/himechan_blog,,233,33
俵山栄子,藤野 栄子,,1962/2/9,,,A型,,,,,,2015/1/1,,,,,39
品川祐,品川 祐,品川さん、監督、ヒロシ,1972/4/26,,東京都渋谷区,A型,173cm,標準語,東京学園高等学校商業科中退,,NSC東京校1期,2011/1/1,,https://lineblog.me/shinagawa/,https://www.youtube.com/channel/UCTmesIj2iAf2D6QWZTGs9ng,448,48
浜ロン,浜口 亮（はまぐち りょう）,,1973/9/18,,東京都調布市→府中市,A型,175cm,,,,NSC東京校1期,2000/1/14,,https://naturaleight.co.jp/hamaron/,,16,16
浜口裕章,,,,,,,,,,,NSC東京校9期,1993/1/1,,,,,67
浜村凡平,濱村 孝政（はまむら たかまさ）,,1984/2/1,,愛知県名古屋市,O型,166cm,,高等学校中退 （高校卒業認定試験合格）,,NSC名古屋校15期,2003/1/1,,https://hamamurabonpei.jimdosite.com/プロフィール・経歴/,,450,50
浜谷健司,,,,,,,,,,,,1962/1/1,,http://kdashstage.jp/profile/archives/14,,304,4
浜中英昌,,,,,,,,,,,NSC東京校12期（脇田） NSC東京校13期（浜中）,1982/7/1,2015/7/31,,,200,100
浜田雅功,濵田 雅功（読みは同じ）,浜ちゃん   ダーハマ   まーくん,1963/5/11,,大阪府大阪市浪速区（出生地）,A型,165 cm,関西弁,日生学園第二高等学校,,NSC大阪校1期,1975/1/1,1982/1/1,,,157,57
浜辺のウルフ,芦原 祐介（あしはら ゆうすけ）,,1977/2/12,,兵庫県芦屋市,A型,170cm,,近畿大学商経学部経営学科,,NSC大阪校18期,2017/1/1,1977/1/1,https://grapecom.jp/talent_writer/hamabe-no-wolf/,,95,95
浜本広晃,,,,,,,,,,,NSC大阪校8期（白川） 事務所直入（浜本）,1967/1/1,1987/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=627,,439,39
浜名ランチ,,,,,,,,,,,ワタナベエンターテイメントカレッジ,2012/1/1,,http://www.kdashstage.jp/profile/archives/12,,,81
富澤たけし,富澤 岳史（とみざわ たけし）,トミー おとみ 哀しきモンスター,1974/4/30,,東京都板橋区生まれ、宮城県泉市 （現・仙台市泉区）育ち,AB型,170cm,共通語、仙台弁,仙台商業高等学校 （現・仙台市立仙台商業高等学校）,,,2013/1/1,2019/1/1,,,462,62
冨好真,冨好真,,1960/10/6,,兵庫県尼崎市,,171cm,関西弁,大阪経済大学,,お笑いスター誕生!!,1997/1/1,2000/1/1,http://chapo-tomi.sblo.jp/,,137,37
布施辰徳,岡部 常哉,,1959/7/9,,静岡県磐田市,,,,,,,2003/1/1,2007/1/1,https://ameblo.jp/t-huse/,,,28
布川ひろき,,,,,,,,,,,札幌吉本（布川） 教文13丁目笑学校（みちお）,2016/1/14,,http://www.kdashstage.jp/profile/archives/23,,,33
府中ふみえ,府中文江,,1982/3/23,,埼玉県川口市(旧鳩ヶ谷市),A,160,,埼玉県立鳩ヶ谷高等学校卒業,,松竹芸能タレントスクール東京校(24期),2010/1/1,,https://www.shochikugeino.co.jp/talents/plankeikaku/,,,63
腐女子 (お笑い芸人),,,,,兵庫県芦屋市,A型,,,,,,1963/1/1,,https://ameblo.jp/matrix-agentsmith/,,,73
武家の女,,,1989/11/3,,,O型,161cm,,早稲田大学大学院卒業(2015年3月),,東京都,1995/1/1,2006/1/1,,,,45
武尊 (お笑い芸人),橋爪 武尊,,1987/10/18,,福岡県,A型,152cm,博多弁,九州大学法学部,,ワタナベコメディスクール16期,1997/1/1,,http://busonbuson.jimdo.com/,,,12
武智正剛,,,,,,,,,,,NSC大阪校22期,2003/1/1,2012/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=387,https://www.youtube.com/channel/UCMcR5t3F2dgNumXLkVBdc9g,474,74
武田一人,齋藤強一 （さいとう　きょういち）,,1969/6/18,,日本?東京都,A型,181センチ,共通語,専修大学商学部中退,,,2011/1/1,2018/1/1,,,,78
風花 (お笑い芸人),境下潤子（さかした じゅんこ）,,1981/6/15,,神奈川県横浜市,O型,160cm,,,,,1950/1/1,1999/1/1,https://ameblo.jp/sienne09/,,,52
風藤康二,,,,,,,,,,,,2002/1/1,2010/1/1,https://www.ohtapro.co.jp/talent/futoumatsubara.html,,69,69
服部ひで子,,,1982/10/20,,,B,160,,,,,2009/1/1,2016/1/1,,,,76
福井敬治,,,1976/5/12,,奈良県葛城市,,,,,,,1979/1/1,,,,,57
福井俊太郎,,,,,,,,,,,NSC大阪校27期,2006/1/1,2009/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=402,,182,82
福山遼平,,,,,,,,,,,NSC大阪校32期,1959/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6444,,,85
福田薫,,,,,,,,,,,栃木県,1978/11/1,2005/1/1,http://www.dudes.jp/talent/ujikoji/,https://www.youtube.com/channel/UCtw4BTDOwGkm0S0dlUglIBA,305,5
福田恵悟,,,,,,,,,,,NSC東京校7期,2010/1/1,2014/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=424,,412,12
福田彩乃,,,1988/9/18,,愛知県豊田市,A型,155cm,,,,アミューズ全国オーディション2009,2006/1/14,,,,,87
福田充徳,福田 充徳,福ちゃん,1975/8/11,,京都府京都市左京区,O型,174 cm,京都弁,大阪学院大学経済学部,,オーディション,1960/4/1,,,,80,80
福田哲平,福田哲平,,1977/12/28,,東京都,B型,167cm,共通語,,,,1985/1/1,1992/1/1,http://fukudabomb.web.fc2.com/,,122,22
福田麻貴,,,,,,,,,,,NSC大阪校女性タレントコース5期（福田） NSC大阪校36期（ゆめっち） NSC東京校20期（かなで）,1982/1/1,1988/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6579,https://www.youtube.com/channel/UCCxFFwpXp8e1ZDUDtIk_XvQ,,69
福島善成,福島 善成,福ちゃん,1977/10/6,,熊本県天草市,AB型,180cm,共通語、熊本弁,熊本県立天草工業高等学校,,NSC東京校2期,2009/1/1,2011/1/1,,,209,9
福徳秀介,,ふくちく,1983/10/5,,日本兵庫県芦屋市,O型,175cm,関西弁,関西大学文学部,,NSC大阪校25期,1962/1/1,1979/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=179,,449,49
文田大介,,,,,,,,,,,NSC東京校9期,2008/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2784,,35,35
兵動大樹,兵動 大樹,,1970/7/24,,大阪府大阪市西淀川区,O型,172 cm,大阪弁,,,NSC大阪校9期,2015/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=148,,,90
平井“ファラオ”光,,,,,,,,,,,新道 太田プロセミナー3か月コース スクールJCA8期 NSC東京校7期ファラオ NSC東京校8期 ワタナベコメディスクール3期,2000/1/16,,https://www.sunmusic-gp.co.jp/talent/bakayoanatawa/,https://www.youtube.com/user/馬鹿よ貴方は、新道竜巳のごみラジオ,,21
平井俊輔,,,,,,,,,,,吉本興業福岡支社,2003/1/16,,,,43,43
平井奨,,,,,,,,,,,,1996/1/1,,,,4,4
平井善之,,,,,,,,,,,,2003/1/1,,https://www.shochikugeino.co.jp/talents/01/post-0.html,,495,95
平山昌雄,,,1974/12/9,,,O型,,,,,,2012/1/1,2019/1/1,,,,34
平子悟,,,,,,,,,,,,2001/1/13,2011/1/13,,,57,57
平子祐希,,,,,,,,,,,,2010/1/1,2020/1/1,,https://www.youtube.com/channel/UCZ6J5UWwctyhNn8vNRUPl-w,208,8
平川幸男,,,,,,,,,,,,1985/1/1,1988/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=131,,,68
平田健太,,,1989/2/28,,,B,172,,,,,2005/1/1,2010/1/1,,,,60
平畠啓史,平畠 啓史,ひらちゃん,1968/8/14,,大阪府高槻市,A型,170cm,共通語 大阪弁,,,銀座7丁目劇場のオーディション,2005/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=688,https://www.youtube.com/channel/https://www.youtube.com/channel/UCrhq9LP8FLnXNv_6sTVyA3Q,387,87
平野ノラ,平野 千秋（ひらの ちあき）,,1978/10/20,,東京都葛飾区,AB型,162cm,,修徳高等学校,,ワタナベコメディスクール13期,2017/1/1,,https://www.watanabepro.co.jp/mypage/40000136/,,,50
並木一路,松村 興優（まつむら こうゆう）,,1912/5/15,,東京府東京市本郷区 （現在の東京都文京区）,,,,,,,2012/1/1,2015/1/1,,,9,9
並木伸之,,,,,,,,,,,ワタナベコメディスクール3期,2014/1/1,2017/1/1,,,,28
別所清一,,,1963/9/28,,,A型,,,,,,2014/7/22,2019/1/1,,,,45
別府ともひこ,,,,,,,,,,,ワタナベコメディスクール12期,2017/1/13,,https://naturaleight.co.jp/eb/,,,72
